"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03772099999","2014-01-01","51.4775","-0.461389","25.29","HEATHROW, UK","  48.3","24","  44.4","24","9999.9"," 0","999.9"," 0","  5.9","24"," 15.1","24"," 22.0"," 35.9","  52.0","*","  42.1"," "," 0.21","G","999.9","010000"
"03772099999","2014-01-02","51.4775","-0.461389","25.29","HEATHROW, UK","  48.2","24","  43.0","24","9999.9"," 0","999.9"," 0","  6.0","19"," 10.8","24"," 17.1"," 27.0","  52.0"," ","  43.3"," "," 0.54","G","999.9","010000"
"03772099999","2014-01-03","51.4775","-0.461389","25.29","HEATHROW, UK","  48.1","24","  41.4","24","9999.9"," 0","999.9"," 0","  5.6","22"," 15.7","24"," 27.0"," 36.9","  51.8","*","  42.6","*"," 0.10","G","999.9","010010"
"03772099999","2014-01-04","51.4775","-0.461389","25.29","HEATHROW, UK","  45.6","24","  41.7","24","9999.9"," 0","999.9"," 0","  6.2","21"," 11.2","24"," 19.0"," 21.0","  49.1"," ","  37.4","*"," 0.30","G","999.9","010000"
"03772099999","2014-01-05","51.4775","-0.461389","25.29","HEATHROW, UK","  42.5","24","  39.9","24","9999.9"," 0","999.9"," 0","  6.8","15","  9.6","24"," 19.0","999.9","  54.3","*","  33.3"," "," 0.39","G","999.9","010000"
"03772099999","2014-01-06","51.4775","-0.461389","25.29","HEATHROW, UK","  52.3","24","  46.3","24","9999.9"," 0","999.9"," 0","  5.8","24"," 16.3","24"," 27.0"," 33.0","  55.4","*","  47.1"," "," 0.35","G","999.9","010000"
"03772099999","2014-01-07","51.4775","-0.461389","25.29","HEATHROW, UK","  51.0","24","  44.7","24","9999.9"," 0","999.9"," 0","  6.4","24"," 13.8","24"," 21.0"," 29.9","  53.6","*","  46.4","*"," 0.40","G","999.9","010000"
"03772099999","2014-01-08","51.4775","-0.461389","25.29","HEATHROW, UK","  49.1","24","  45.0","24","9999.9"," 0","999.9"," 0","  6.8","20","  8.9","24"," 13.0"," 20.0","  53.6","*","  44.1"," "," 0.21","G","999.9","010000"
"03772099999","2014-01-09","51.4775","-0.461389","25.29","HEATHROW, UK","  48.0","24","  41.6","24","9999.9"," 0","999.9"," 0","  6.0","17"," 13.3","24"," 22.0"," 32.1","  53.6","*","  40.8","*"," 0.14","G","999.9","010000"
"03772099999","2014-01-10","51.4775","-0.461389","25.29","HEATHROW, UK","  43.5","24","  39.9","24","9999.9"," 0","999.9"," 0","  7.0","15","  7.4","24"," 13.0"," 17.1","  51.6"," ","  36.1"," "," 0.00","G","999.9","010000"
"03772099999","2014-01-11","51.4775","-0.461389","25.29","HEATHROW, UK","  44.0","24","  38.8","24","9999.9"," 0","999.9"," 0","  6.2","18","  6.6","24"," 13.0","999.9","  48.6"," ","  32.0","*"," 0.07","G","999.9","010000"
"03772099999","2014-01-12","51.4775","-0.461389","25.29","HEATHROW, UK","  38.6","24","  36.8","24","9999.9"," 0","999.9"," 0","  4.4","21","  6.6","24"," 17.1","999.9","  50.0","*","  28.4","*"," 0.00","G","999.9","110000"
"03772099999","2014-01-13","51.4775","-0.461389","25.29","HEATHROW, UK","  44.4","24","  40.7","24","9999.9"," 0","999.9"," 0","  6.5","18","  8.9","24"," 18.1","999.9","  49.5"," ","  41.0","*"," 0.09","G","999.9","010000"
"03772099999","2014-01-14","51.4775","-0.461389","25.29","HEATHROW, UK","  40.1","24","  35.7","24","9999.9"," 0","999.9"," 0","  7.8","10","  6.9","24"," 11.1","999.9","  45.0"," ","  33.4","*"," 0.20","G","999.9","010000"
"03772099999","2014-01-15","51.4775","-0.461389","25.29","HEATHROW, UK","  49.2","24","  46.8","24","9999.9"," 0","999.9"," 0","  5.9","24","  9.4","24"," 14.0","999.9","  52.3"," ","  41.2"," "," 0.18","G","999.9","010000"
